InvoiceNo,StockCode,Description,InvoiceDate,CustomerID,Quantity,UnitPrice,Country
INV10000,DOG024,Dog Paw Cleaner Cup,2/27/2025,1000,3,15.79,Germany
INV10001,DOG003,Dog Tennis Balls Pack of 3,2/22/2025,1001,5,22.87,United States
INV10001,DOG001,Leather Dog Collar Medium,2/22/2025,1001,1,14.74,United States
INV10001,DOG017,Fleece Dog Blanket,2/22/2025,1001,5,7.05,United States
INV10001,DOG007,Reflective Dog Collar,2/22/2025,1001,5,22.77,United States
INV10001,DOG015,Silicone Dog Bowl Collapsible,2/22/2025,1001,5,17.12,United States
INV10001,DOG001,Leather Dog Collar Medium,2/22/2025,1001,2,33.92,United States
INV10001,DOG011,LED Dog Collar Light,2/22/2025,1001,3,12.21,United States
INV10001,DOG025,Personalized Dog Tag,2/22/2025,1001,3,10.08,United States
INV10001,DOG013,Canvas Dog Muzzle,2/22/2025,1001,1,20.35,United States
INV10002,DOG002,Nylon Dog Leash 6ft,11/6/2025,1002,4,27.44,Australia
INV10002,DOG013,Canvas Dog Muzzle,11/6/2025,1002,1,28.07,Australia
INV10002,DOG021,Elevated Dog Feeder,11/6/2025,1002,5,41.41,Australia
INV10002,DOG012,Dog Treat Pouch Belt,11/6/2025,1002,5,13.68,Australia
INV10002,DOG003,Dog Tennis Balls Pack of 3,11/6/2025,1002,1,32.44,Australia
INV10003,DOG004,Fleece Dog Toy Squeaker,2/10/2025,1003,4,17.11,Australia
INV10003,DOG021,Elevated Dog Feeder,2/10/2025,1003,3,12.5,Australia
INV10003,DOG012,Dog Treat Pouch Belt,2/10/2025,1003,2,32.8,Australia
INV10003,DOG023,Interactive Dog Puzzle Toy,2/10/2025,1003,1,30.36,Australia
INV10004,DOG006,Dog Bone Chew Toy Large,10/1/2025,1004,4,21.17,United States
INV10004,DOG021,Elevated Dog Feeder,10/1/2025,1004,5,14.77,United States
INV10004,DOG011,LED Dog Collar Light,10/1/2025,1004,1,15.15,United States
INV10004,DOG002,Nylon Dog Leash 6ft,10/1/2025,1004,3,22.04,United States
INV10005,DOG023,Interactive Dog Puzzle Toy,4/19/2025,1005,3,14.5,United Kingdom
INV10005,DOG016,Dog Raincoat Yellow,4/19/2025,1005,4,41.38,United Kingdom
INV10005,DOG021,Elevated Dog Feeder,4/19/2025,1005,4,11.7,United Kingdom
INV10005,DOG005,Adjustable Dog Harness,4/19/2025,1005,2,35.79,United Kingdom
INV10005,DOG018,Dog Grooming Brush,4/19/2025,1005,3,35.87,United Kingdom
INV10005,DOG014,Dog Poop Bags 120ct,4/19/2025,1005,5,21.97,United Kingdom
INV10005,DOG008,Dog Water Bowl Stainless,4/19/2025,1005,2,26.37,United Kingdom
INV10005,DOG003,Dog Tennis Balls Pack of 3,4/19/2025,1005,1,40.43,United Kingdom
INV10005,DOG005,Adjustable Dog Harness,4/19/2025,1005,2,37.67,United Kingdom
INV10005,DOG014,Dog Poop Bags 120ct,4/19/2025,1005,5,8.53,United Kingdom
INV10006,DOG017,Fleece Dog Blanket,11/2/2025,1006,3,44.83,Spain
